,i,j,Distance
0,14,1770,10.445510236521308
1,15,39,12.712105973851076
2,15,74,16.02079258827913
3,39,1623,54.08948656547458
4,40,45,12.660089677583855
5,40,1973,1.5193816532083286
6,45,2321,84.61589366889622
7,46,50,4.879816200176551
8,46,1112,5.776878204278679
9,50,1112,4.384480326942649
10,51,39,12.87204877688578
11,51,74,16.099289527169812
12,74,427,10.374981906286898
13,75,81,4.689914481515053
14,81,169,15.48251164616051
15,82,96,50.232559554447725
16,82,1749,48.657681395806485
17,96,2711,8.217942327783145
18,97,111,17.084703349538355
19,97,1938,7.910176692996531
20,111,1104,2.7386412040752517
21,112,113,8.28157925438258
22,112,1933,7.91871342934026
23,113,1923,10.163370460745517
24,139,990,64.13841544201878
25,140,75,6.660290118730362
26,140,81,6.299181922814831
27,143,153,58.89947347847172
28,153,97,74.70655358194225
29,153,291,36.1593751568133
30,154,2266,4.6780790350530985
31,159,160,3.812485590795249
32,160,46,31.92788222309643
33,161,140,14.236947069318294
34,169,850,49.42469359687993
35,170,257,142.7318333296426
36,257,724,8.627304003345952
37,258,263,80.65763196476632
38,258,1792,10.358179229522097
39,263,1821,12.144673495207497
40,264,271,7.636494205551038
41,264,2206,8.068776156494412
42,271,275,4.090233033643406
43,271,2206,3.740859267042713
44,275,2209,2.2663827227402447
45,291,1903,7.12732735637477
46,292,301,42.42761953581083
47,292,1834,32.56663696962972
48,307,301,38.56143965841379
49,307,1829,37.96914675234783
50,313,332,10.336837107392874
51,313,1058,7.499314795540911
52,332,374,6.54564003309606
53,333,373,41.43523514919944
54,333,1245,27.86758398351299
55,373,1503,4.107290581042252
56,374,51,16.518775936677446
57,374,423,37.78712323195657
58,423,1296,4.632474163968424
59,424,426,2.7265327686152907
60,424,1624,2.7985130428617557
61,426,1535,5.473428227724774
62,427,313,17.674195506161848
63,427,455,26.729360769769077
64,455,494,32.882083672059075
65,494,1350,4.886111727005192
66,495,2131,41.20175493436917
67,518,592,79.21365750496875
68,592,814,41.705897947884374
69,597,716,116.09949600202806
70,716,1379,135.95410763048582
71,717,1842,82.89074583899063
72,719,723,38.77471832080488
73,719,1840,41.068142256838875
74,724,814,133.54544634787385
75,814,831,17.202066547812535
76,831,2187,5.311129316093757
77,844,1067,15.79747289074728
78,849,1147,1.9738756172599632
79,850,2078,51.745913006504274
80,858,864,8.516488525643073
81,862,858,1.6331409180173697
82,864,1093,3.960890793230166
83,865,871,83.77563809252803
84,871,1901,31.386076968935846
85,872,885,21.984298770741322
86,872,2088,64.0041151678723
87,885,886,1.0042784982263069
88,885,898,1.2274135940511248
89,886,2072,33.69268576000268
90,887,897,12.264404485050882
91,897,886,0.8983905246109236
92,897,898,1.1348764263491855
93,898,872,1.1208828627528846
94,899,900,1.865827359483149
95,900,901,8.87236619069702
96,900,945,7.668176029036571
97,932,989,0.5482313822596013
98,933,932,7.367221068064122
99,945,953,1.2074756919789358
100,953,954,1.2811491522136187
101,954,901,6.917508466315615
102,989,143,3.741775200941968
103,990,15,51.45595243930587
104,1058,1634,5.986292450297375
105,1059,258,3.6094164409554006
106,1061,1059,5.054031438558185
107,1063,1066,39.23211126270524
108,1066,2399,57.84904721688257
109,1067,1063,5.101726189068521
110,1069,1071,10.686559134009816
111,1071,1115,5.380606196706504
112,1072,1069,5.177932844255588
113,1074,1075,5.635587469879108
114,1075,1080,12.96899350710265
115,1080,1089,6.2211615985428175
116,1081,1082,6.097960096288653
117,1082,1072,12.55709592157423
118,1089,1092,24.884452108474484
119,1092,1101,2.848646984823835
120,1093,1081,24.769194794168335
121,1097,159,8.89112882409026
122,1101,1097,2.1296417896139985
123,1101,1103,2.2893231841145822
124,1103,865,27.60327034348108
125,1104,862,3.8351397146924446
126,1112,1114,7.952937259394071
127,1114,1160,3.0518739164948285
128,1115,1117,7.205378623931505
129,1117,40,8.854303447031143
130,1117,45,15.739612381461939
131,1123,1074,9.67532214181485
132,1126,1123,5.214779194422911
133,1128,1132,19.309174198759447
134,1132,161,4.530437727892306
135,1135,1136,3.372389746649514
136,1136,1141,17.77382775617127
137,1141,1145,5.687136970553695
138,1143,2838,1.972486370259989
139,1145,2840,1.8740534612921258
140,1147,1152,16.52498370698126
141,1152,2095,3.105903231484801
142,1153,111,42.964774728491925
143,1158,1153,3.0807643664083106
144,1160,1161,14.293295538276102
145,1161,885,40.1197411807443
146,1245,423,7.161599494119663
147,1296,1439,137.1154327281924
148,1297,518,31.81137919252846
149,1297,1316,41.53546142374178
150,1343,1316,16.11034158011523
151,1350,1343,6.58168343122583
152,1379,1416,93.54442880210367
153,1416,1754,5.252510214720212
154,1417,495,136.4613191883386
155,1439,1465,39.137950002823516
156,1465,2508,6.769381116343226
157,1466,1297,137.13025835013798
158,1503,313,20.52303476209466
159,1535,494,25.74611910155731
160,1570,332,11.513420554211441
161,1623,597,8.78112792173374
162,1624,1570,5.761147155047785
163,1634,2876,6.742669240987489
164,1635,170,15.640386239494255
165,1736,1748,41.98545704569501
166,1748,1417,48.95633593299317
167,1748,2114,49.31398147444379
168,1749,1736,5.447020139868542
169,1754,14,38.166625768605236
170,1770,1785,94.30555880400314
171,1770,2407,35.16237854807988
172,1785,1061,5.531949992278661
173,1786,1787,5.495812433233456
174,1787,1066,38.624717019582064
175,1792,112,63.943862827648346
176,1798,1786,80.79473184208885
177,1808,1798,10.813008069228388
178,1810,1811,10.674490105835227
179,1811,844,63.80362346937393
180,1821,1824,22.35046644862638
181,1824,1913,6.699264987648498
182,1829,1849,4.781198750245686
183,1834,1859,4.622784704068896
184,1835,1836,4.309323523497611
185,1836,1840,34.59463029816851
186,1842,1843,1.7576439586300234
187,1843,723,39.893247736967126
188,1849,1855,89.13626863286945
189,1855,1892,1.6835308600008738
190,1859,1868,97.36926261903196
191,1868,1895,4.7459671216649815
192,1869,1870,4.637428671902849
193,1870,717,5.219695629061244
194,1879,1880,4.382532879544968
195,1880,1885,62.37450284604737
196,1885,719,29.973936403642284
197,1885,1835,29.85703728678245
198,1889,1891,27.614227473465043
199,1891,1908,6.638997413138307
200,1892,1889,4.622184868415681
201,1895,291,20.453263859886576
202,1901,899,3.6298966346759096
203,1903,1904,7.507463871128721
204,1904,1810,19.979942472514793
205,1908,1808,20.78572621363304
206,1913,1869,25.851242898028833
207,1917,1879,24.99270786557841
208,1920,1917,6.537365810128888
209,1923,871,38.277175342374136
210,1933,1934,9.876842043896472
211,1934,1920,24.631070292802477
212,1938,865,27.840516467765383
213,2072,2077,5.130710679018639
214,2077,1158,15.49770156881821
215,2078,2087,9.108583651305775
216,2087,887,52.62726604530263
217,2087,2088,1.146583932471982
218,2088,2089,26.682215123824314
219,2089,1152,36.74485001396904
220,2095,154,40.642729711038214
221,2114,2115,136.25715752956373
222,2115,2131,41.33574394536206
223,2187,2886,7.504425390215528
224,2192,1135,12.657268876764276
225,2193,2192,13.729396693732287
226,2206,1126,1.474666090067384
227,2266,2193,11.106057087561279
228,2321,2609,35.87030384627768
229,2352,1785,36.50345174219179
230,2399,82,5.048631600402908
231,2407,1785,62.274382709452446
232,2407,2352,24.356471094194035
233,2447,2531,6.336154704962234
234,2458,2489,34.70109105134655
235,2489,264,98.68033560075477
236,2507,2618,21.491341562201224
237,2508,2447,36.38003263510214
238,2508,2532,36.278200728078744
239,2531,2538,4.6305066932311085
240,2532,2458,8.310324439342098
241,2538,2489,31.530709715994597
242,2609,2610,8.360821867603422
243,2610,2618,27.345949328574708
244,2618,2626,14.34672120099185
245,2626,1466,38.75253397482673
246,2711,2538,6.634942035681184
247,2836,1343,6.012941259770767
248,2838,1128,6.082168098742799
249,2876,1635,6.088334567940958
250,2881,424,9.477943840524068
251,2886,2881,4.4141919308192925
