,i,j,distance
0,11,454,8.485173089885144
1,12,28,29.595941287871163
2,12,331,21.032104994342554
3,28,2540,3.1082499923908475
4,29,1967,31.049578273608343
5,31,40,6.24882293683793
6,40,5195,2.3458469361882983
7,41,53,30.652395158087504
8,53,4089,82.09547046047072
9,54,55,1.3309080890729745
10,55,889,190.09237045069784
11,56,57,27.32623265083685
12,57,2518,17.534061359538324
13,57,3490,23.751981685847323
14,58,59,12.558883562689832
15,59,445,6.853953001080218
16,60,62,9.106560077660792
17,62,1808,30.156414368196426
18,63,76,13.375100780122903
19,76,562,15.216191160460323
20,76,1554,7.438167232801081
21,77,31,15.45099745549446
22,77,53,22.50102466046041
23,122,1059,5.681150084665577
24,123,127,6.289017435648089
25,123,1533,6.359509754883401
26,127,1625,5.612119087709996
27,128,146,17.789135873734974
28,128,276,9.683453074254137
29,146,2798,1.4365767306063926
30,156,442,12.53536279670789
31,168,5700,2.348406697141828
32,169,179,11.697485970946111
33,169,2412,16.051723740434056
34,179,2412,7.57977184874504
35,180,201,23.19376960848085
36,201,5744,13.39284392443003
37,202,219,17.102441259188534
38,219,1650,13.910657230527876
39,248,122,1.2460505896742236
40,276,146,9.50645754334289
41,276,2732,17.254691538432184
42,316,2577,17.28013368573255
43,317,318,7.069895773693492
44,317,1287,5.767166062006563
45,318,577,16.737226803222615
46,319,330,12.966070356125075
47,319,3046,17.788590268225
48,330,3046,12.62313294724473
49,331,339,20.487091489074555
50,331,340,29.808153795276098
51,340,3485,18.300805505757527
52,379,390,8.756735932408814
53,390,3484,24.811064644985244
54,411,412,93.47239790337932
55,412,2757,124.53460857389757
56,413,421,11.87391781766998
57,413,2505,26.279211382054008
58,421,3566,19.251581086353635
59,422,429,22.69131949542901
60,422,441,26.02110195258746
61,422,5251,18.331661619319316
62,442,2622,14.813321878520535
63,445,454,8.118729895927014
64,454,2519,11.36594415472354
65,455,2471,65.32340804367975
66,459,2252,4.761448617481977
67,468,5037,3.0105965741778102
68,469,483,34.566401905333386
69,483,542,27.51773851816497
70,484,2038,10.99201423393235
71,492,494,6.914080832180979
72,492,2000,17.147506998495437
73,497,509,85.63906750650372
74,498,508,34.237629978566645
75,498,4947,31.230857856550593
76,508,1231,14.633010070139838
77,508,4697,7.797781890379631
78,509,518,31.164118675270405
79,509,1854,28.175310367301396
80,518,1857,26.99821577748159
81,519,523,16.74111471402553
82,523,532,23.40982908256717
83,532,1814,78.28141232427345
84,542,2282,71.39305825507047
85,543,545,2.9633921054539476
86,543,968,3.119449558901021
87,545,5680,3.1401136375565875
88,545,6294,4.64310543792436
89,562,577,31.630722099981767
90,577,578,3.5225474461298067
91,578,3304,13.633617789557952
92,583,584,1.639237885400526
93,583,3884,9.398496069315922
94,584,3884,7.842647148649707
95,586,5759,2.0726148573380945
96,587,589,3.0914455986763496
97,589,6578,5.987421237560256
98,593,594,97.56074992532191
99,594,2803,32.64764062522563
100,599,602,9.014422788519948
101,599,4545,75.37025724715744
102,602,2811,3.9035067017140226
103,611,612,9.222130467209569
104,611,2806,9.169655425821933
105,612,2807,3.4162843995086853
106,613,4549,18.69285139149206
107,620,613,103.86906986567418
108,630,631,3.9066445580527276
109,631,2817,10.406998589822063
110,635,638,3.5252815281525134
111,635,2908,4.710465007337235
112,679,4186,25.20698768338907
113,684,1060,21.718075887445085
114,688,725,55.6817593006952
115,688,2155,10.115839304965741
116,725,5602,6.048773078953764
117,742,2800,2.720122329787204
118,743,747,12.339131760961738
119,747,4348,3.0371444484340135
120,748,4287,25.748870323530582
121,754,756,12.800434756589619
122,754,4450,12.512943795400764
123,756,4406,14.896319053568961
124,770,773,34.64724085064508
125,773,5514,113.40556571715308
126,774,778,8.785967885829304
127,774,787,8.982609589562598
128,774,3765,7.4010305777729855
129,778,785,6.124495937322674
130,778,3765,1.8495616746967587
131,785,3207,21.271138966476126
132,787,1104,30.510655360902216
133,788,796,18.64359862030478
134,796,1354,7.992644052470587
135,796,1460,10.8770663552379
136,797,799,93.77785078844889
137,799,128,124.03419305005464
138,800,809,17.318538391960473
139,809,810,15.199576791257233
140,809,902,17.863371257327035
141,810,796,15.352146822557309
142,810,811,3.4175632315030837
143,811,411,31.134984806152943
144,812,788,34.63898784780467
145,839,809,26.188306108325932
146,854,1418,66.54289065538255
147,855,584,8.836920209411973
148,855,856,1.4817998304061306
149,856,858,4.505292741735906
150,858,584,3.0454227362006154
151,859,888,195.70545480042705
152,888,422,7.764858357903961
153,889,893,14.07027495388557
154,893,1125,2.289331080985016
155,894,901,95.64582124745154
156,901,5006,18.40126364340714
157,902,797,24.70718096728484
158,916,919,19.18169298201504
159,919,1653,15.07625363429465
160,919,1699,21.197615818305945
161,920,925,9.959331690988636
162,925,4858,5.520909456534976
163,926,941,35.51761237513794
164,941,948,1.485138557708219
165,941,2625,9.161187092739702
166,942,941,2.0044687708463114
167,942,2635,22.75932152016033
168,961,180,126.34444150995505
169,968,5973,4.575104864790378
170,969,202,17.658698263961025
171,969,3863,24.023787873584684
