,i,j,distance
0,0,2,6.4090890670161045
1,2,3796,3.6950080294790957
2,3,4,12.872352427457963
3,3,8348,8.777467253518566
4,4,5,10.572642306378862
5,4,13667,7.96174431802429
6,5,6,1.7123709102747595
7,5,4824,8.617528592281955
8,6,7,15.25096662735583
9,6,8172,8.018045474960505
10,7,8,27.391699253519253
11,7,11394,8.0615087404016
12,8,4821,8.620022425684015
13,9,10,21.63977866215675
14,9,1974,8.815426149813145
15,10,11,10.969765375251878
16,10,4613,8.00401545429338
17,11,12,1.6937894664528232
18,11,1972,8.01090458885143
19,12,13,14.887829894400854
20,12,4611,8.021376186469375
21,13,14,27.379778657668236
22,13,4610,8.110214667081769
23,14,16,27.141305047820218
24,14,1969,8.004430774928041
25,16,367,8.059516197756531
26,20,22,26.94925079868097
27,20,17011,9.693711042824978
28,22,24,1.8341225312292433
29,22,14321,24.104320685287327
30,24,25,8.332278558373355
31,24,5014,24.765415223054916
32,25,4099,16.91621703144351
33,26,27,29.906372581845357
34,26,2123,7.539627878453328
35,27,6519,1.4737479020070947
36,28,29,7.125920156419443
37,28,4949,7.824842334684796
38,28,21480,0.9949811442234933
39,29,31,5.908498814628755
40,31,4947,7.589541035648266
41,32,34,15.474680296046103
42,32,4049,8.109772322537793
43,34,35,2.540856540262699
44,34,10747,9.409103784756372
45,35,36,9.29718837776981
46,35,4833,9.34644516398531
47,36,1690,8.040464872555242
48,40,3009,7.9017031360250485
49,41,43,27.239913525553533
50,41,9852,8.158043184366173
51,43,44,27.363056412126006
52,43,20808,4.585060707883697
53,44,45,13.065079337413154
54,44,1910,7.9919728589264745
55,45,47,1.682036962471748
56,45,1909,7.922408333959714
57,47,48,12.731736570013293
58,47,2146,8.097055794605925
59,48,49,21.63321670413269
60,48,1906,7.899998509083511
61,49,2144,8.42520728764859
62,50,52,10.949993585081602
63,52,6308,14.762036624069925
64,52,14756,2.0902807871954225
65,53,64,4.1688709324895745
66,53,14162,4.653516308340262
67,64,707,8.485173089885144
68,65,81,29.595941287871163
69,65,534,21.032104994342554
70,81,7398,3.1082499923908475
71,82,83,3.5609186485590203
72,82,7661,43.35608094927109
73,83,9018,31.49252397335387
74,84,93,6.24882293683793
75,84,18165,2.9503631238042742
76,93,13133,2.3458469361882983
77,94,106,30.652395158087504
78,94,10508,3.7514434014327587
79,106,10545,82.09547046047072
80,107,120,29.307260830455675
81,107,10881,3.992514593070215
82,120,1858,8.41393838104319
83,120,3629,14.121991245068843
84,121,122,27.32623265083685
85,122,7389,17.534061359538324
86,123,124,12.558883562689832
87,124,698,6.853953001080218
88,124,1555,9.143779432296483
89,125,127,9.106560077660792
90,125,2018,10.004698963729027
91,127,6021,55.53386189015025
92,128,141,13.375100780122903
93,141,4789,15.216191160460323
94,141,6826,7.438167232801081
95,142,84,15.45099745549446
96,142,106,22.50102466046041
97,171,187,11.692786040691189
98,171,8489,0.3416562650483581
99,187,6424,5.681150084665577
100,192,6897,5.612119087709996
101,193,211,17.789135873734974
102,193,412,9.683453074254137
103,211,8009,3.2832150690259505
104,212,221,22.515089819266905
105,212,9044,6.0041627621470095
106,221,693,12.53536279670789
107,222,233,8.905499154406105
108,222,8577,2.552230554580339
109,233,15951,2.348406697141828
110,234,235,8.16021568452309
111,234,9983,1.4960391309717558
112,235,7930,4.686358575511299
113,235,10159,3.1569009985698733
114,236,245,8.301051977975915
115,246,256,11.697485970946111
116,246,7303,16.051723740434056
117,256,7303,7.57977184874504
118,257,258,1.970321254241398
119,257,883,32.378647110686224
120,257,2336,27.46182685130195
121,258,12367,2.711380741241657
122,259,280,23.19376960848085
123,280,6241,13.305302660967765
124,280,16658,13.39284392443003
125,281,282,1.8222089117053863
126,281,3070,9.018627007568263
127,281,4439,27.204099273852133
128,282,297,14.69078975972168
129,282,7825,11.398284025082104
130,297,3046,57.236461536668585
131,297,3070,13.87979504741821
132,298,315,17.102441259188534
133,315,6922,13.910657230527876
134,316,317,7.485540453995561
135,317,1757,1.339248997834803
136,318,327,3.9842800345559386
137,327,336,15.382697462333114
138,327,8495,13.137956274177427
139,327,8633,6.174802685057475
140,328,336,6.342570507666003
141,336,3551,7.49878083251984
142,336,18244,2.143995081671277
