,i,j,distance,street
0,5395,21055,1.3704405226602636,Madison Avenue
1,13288,15939,10.342424494952327,10th Avenue
2,4952,29,7.617122727683495,Front Street
3,1482,1483,2.303476167041351,East Broadway
4,22225,22226,0.5802342475335598,Morningside Avenue
5,4554,5354,0.475449597601245,Trinity Place
6,10596,10597,1.090252552047701,Riverside Drive
7,18315,18336,1.4292862567553022,Rector Place
8,21800,21801,1.407674660549688,East 55th Street
9,4150,14394,1.3560185960530218,East 14th Street
10,9982,680,0.8598925171176451,East 37th Street
11,5672,5673,26.07945348325072,West 135th Street
12,21007,21008,2.385506696947945,West Street
13,9438,9439,1.6776302693092646,West 138th Street
14,3217,15988,1.3148503212260598,Marble Hill Avenue
15,2336,2335,10.610432094311058,West 77th Street
16,21294,2548,5.23848704879856,Spring Street
17,3710,1956,7.958004655386692,Amsterdam Avenue
18,11870,14774,21.63539468811563,East 125th Street
19,1503,1504,14.268612727053744,West 38th Street
20,14354,14355,2.679493387264895,Convent Avenue
21,3744,3745,0.19952933994815117,North End Avenue
22,1896,1897,6.831874504619052,West 94th Street
23,19432,18256,2.007979335986002,Canal Street
24,11312,11313,4.534695308747309,West Drive
25,3236,3237,3.610538803129492,South Street
26,5351,1921,0.609287427148356,Chatham Square
27,7724,7725,12.877340413463791,Henry Hudson Parkway
28,864,2269,7.877934334892377,11th Avenue
29,18518,18519,2.6025924527609687,FDR Drive
30,3359,19081,3.824730639306547,Adam Clayton Powell Jr. Boulevard
31,2536,5866,7.991199475523898,5th Avenue
32,13053,13052,0.2151698776520926,Teunissen Place
33,17892,11489,1.2212445445423845,Lexington Avenue
34,2404,2405,1.5766724004768344,14th Street Loop
35,9555,6668,2.9243132240461778,unknown
36,10622,2192,0.3798200201646112,West 159th Street
37,1027,3447,7.962927253092804,Manhattan Avenue
38,5027,5028,0.4283016613559821,Renwick Street
39,3371,787,7.76657713040311,9th Avenue
40,2347,10726,9.537464923732738,Saint Nicholas Avenue
41,2432,2433,1.0502141633507618,145th Street Bridge
42,1004,5204,7.970755398874439,5th Avenue
43,4925,22413,7.858181528777314,Park Avenue South
44,2153,8399,5.6050212108579816,12th Avenue
45,1829,1830,14.294619427599805,East 108th Street
46,12991,12992,4.970132838215272,Central Park Drive
47,3501,2506,8.105714627937546,Greenwich Street
48,234,9932,1.4960391309717558,West 41st Street
49,12049,9665,4.120376251648722,Hudson Street
50,1641,1642,5.089440035077047,West 27th Street
51,3824,2105,7.905240606191996,West End Avenue
52,3342,3343,2.574271674785767,Harlem River Drive
53,14424,14425,0.19709113036520165,East 79th Street
54,2768,13300,4.585011511115735,Riverside Drive
55,14066,10088,2.20246818900902,West 34th Street
56,15695,21654,1.006895604260466,Delancey Street
57,22250,2262,0.9804014087880182,York Avenue
58,8811,8812,0.9429746688869515,Battery Place
59,8908,15016,14.83278395799165,Bethune Street
60,4625,4626,20.806805855345317,East 5th Street
61,6600,6601,0.3839850642774402,East 10th Street
62,8226,8227,0.2488200116880256,Park Avenue
63,16730,16731,3.2439164902626376,West Road
64,15252,10595,0.8630942323103652,Riverside Drive
65,12492,12493,6.88776516826343,Hester Street
66,1717,1718,0.6919445537058808,Mulberry Street
67,1383,1384,23.997673051559456,West 107th Street
68,19229,19259,2.142630015348903,2nd Avenue
69,17261,5430,7.340715916835802,Bowery
70,20548,20545,23.450014943903536,12th Avenue
71,2549,2550,14.563817251124728,Sullivan Street
72,15353,8416,1.5019083606821053,West 155th Street
73,21358,1850,0.8201941711025753,Thompson Street
74,12645,12646,0.3587834866073781,unknown
75,11638,11637,7.963229859773871,Frederick Douglass Boulevard
76,4733,4734,1.5829783512639934,Payson Avenue
77,3566,3567,15.450401224323333,East 88th Street
78,12898,12549,0.7650288842716563,East 3rd Street
79,3424,3425,7.333514522474196,Watts Street
80,5647,5648,1.2053288845790289,Minetta Lane
81,20993,20994,0.5769668141115679,Central Park West 67th Approach
82,15054,21696,1.4256785946235662,West 47th Street
83,10587,10586,2.6474706679996944,Riverside Drive
84,10314,10315,9.83687802141476,West 45th Street
85,6447,6448,3.0634875559537305,West Drive
86,2373,2374,15.444160746964622,East 101st Street
87,12834,12835,5.00218699574714,Henry Hudson Parkway
88,19398,4859,4.053641031078184,1st Avenue
89,14628,14629,0.9590294888997718,West 41st Street
90,16988,16989,2.785033976642887,West Drive
91,1378,14307,7.362587325956873,Central Park West
92,21928,21929,2.681331571975681,West 19th Street
93,21919,21920,25.870549795807342,West 21st Street
94,21308,1146,0.8561097622060658,4th Avenue
95,5467,5468,0.47278393255838025,West 190th Street
96,6654,13760,7.142887872586025,West Houston Street
97,1021,1022,0.7720157609308073,Cornelia Street
98,11053,11052,1.0774667004460394,Central Park West 100th Approach
99,14670,15082,12.941505123692451,West 100th Street
100,12624,12625,0.974017485224467,FDR Drive
101,680,17709,1.046673387299622,East 37th Street
102,18405,18406,0.5035376646000026,West Street
103,9695,9696,14.261917807052358,East 84th Street
104,17863,16710,0.527445763437762,Saint Nicholas Avenue
105,11700,4952,7.682254757784287,Front Street
106,12435,12436,0.41588179740810177,Main Street
107,1827,19979,5.170164310190371,1st Avenue
108,12081,12082,6.475819368263686,West Broadway
109,5610,8399,2.207922225655266,12th Avenue
110,17114,16328,15.105552808096384,West 54th Street
111,4888,7761,7.473316448363233,6th Avenue
112,5341,5342,3.399075974245711,5th Avenue
113,18082,10161,6.472867665472336,10th Avenue
114,4836,4835,6.649648280666103,West 62nd Street
115,1907,48,7.899998509102551,West End Ave.
116,2068,2069,0.8627861561784708,Avenue C Loop
117,7535,7536,4.20781245988493,Harlem River Driveway
118,18392,18393,0.9372570174461333,FDR Drive
119,13738,13739,1.5551989199816656,West 130th Street
120,1969,1970,0.5831909397717565,West 83rd Street
121,10818,10819,2.0679157000264627,unknown
122,22168,22169,0.5308404333821691,Columbus Circle
123,12209,12210,0.33940629702039227,Park Terrace East
124,8589,5102,19.341870437633894,King Street
125,16983,16984,3.966728345976209,65th Street Transverse
126,12609,12610,9.52434961019257,FDR Drive
127,3603,15250,7.850309653891556,Park Avenue South
128,11462,11463,0.37694271989963773,East 98th Street
129,16476,3805,7.925139310156036,Adam Clayton Powell Jr. Boulevard
130,918,919,10.666007501417372,West 78th Street
131,3449,7419,1.1639582709709477,unknown
132,1214,1215,1.2278768599084653,East 64th Street
133,7522,737,1.2885732837644193,Washington Bridge
134,4196,4197,4.020237027431596,West Road
135,20026,20027,0.6304512315587681,Battery Place
136,5259,5260,0.5838590945685282,Edgar Street
137,11686,3040,9.33041145142707,West 116th Street
138,17529,7921,2.983270802539626,1st Avenue
139,10300,22053,8.122594282399945,East 49th Street
140,20972,1292,1.1525696022046057,6th Avenue
141,13600,14683,3.8723113520098806,West End Avenue
142,4216,19080,3.4514667435104522,Adam Clayton Powell Jr. Boulevard
143,13715,13716,5.212323429288627,Harlem River Drive
144,17520,17521,2.5750625360699035,East 37th Street
145,9813,9814,7.687555393553295,Central Park West
146,1927,1928,0.9118044335520421,Catherine Street
147,21159,21158,4.478752363723474,Cathedral Parkway
148,2090,2323,8.006226918261008,Freedom Place
149,1902,1903,0.6019772606241922,Union Square East
150,12440,4900,0.8680850578634707,Main Street
151,5113,5114,4.266389757240142,West 114th Street
152,8660,8661,5.884777397108622,Henry Street
153,13144,14040,0.9091167315876878,East 23rd Street
154,16057,16058,1.039569792015754,Margaret Corbin Drive
155,11618,1608,8.08610502786357,Lexington Avenue
156,10966,4971,3.4514956173553553,Bedford Street
157,20787,3306,4.2445820681577455,Columbus Avenue
158,4923,4924,13.816522312579208,East 27th Street
159,8141,8142,1.7245203254407353,Gold Street
160,5666,12945,8.41596858208887,6th Avenue
161,11878,11879,0.9855599122860064,East 23rd Street
162,22297,22298,0.6873037514541863,Holland Tunnel access
163,1974,1975,17.922586181202526,West 83rd Street
164,4120,3634,8.147257357566577,Wadsworth Avenue
165,4938,4939,0.3681122760955447,Doyers Street
166,2813,2814,0.5475111132565731,Riverside Drive
167,20032,20033,0.9019143598747014,Battery Place
168,1229,2003,8.005881442229853,5th Avenue
169,4941,4942,0.3294624328228651,Doyers Street
170,14403,15147,15.46484839061167,East 65th Street
171,6010,6011,19.94506053586585,Henry Hudson Parkway
172,3742,3743,7.909143286772066,North End Avenue
173,16887,16888,0.4765710704926912,unknown
174,9125,12480,1.0823552901965647,Stanton Street
175,8254,926,8.290932839472328,Broadway
176,2459,15336,7.835713164495119,Bradhurst Avenue
177,14407,14408,13.341823261907718,East 68th Street
178,5841,5840,21.892059028709355,East 79th Street
179,1515,16398,7.883585580581132,Amsterdam Avenue
180,1535,1536,3.297594437233283,East Drive
181,2943,2942,0.9440299395937028,Riverside Drive
182,17083,17084,1.4905007129327241,Lincoln Tunnel
183,12816,12817,2.0092411701419453,Henry Hudson Parkway
184,13873,13874,12.994394165435569,Delancey Street
185,6937,6938,0.23318183817089394,Whitehall Street
186,789,788,12.2675767749852,West 220th Street
187,7608,7609,14.375638212568328,Madison Avenue
188,16320,17748,0.7538812708588977,7th Avenue
189,7639,7640,2.508700055385146,Harlem River Drive
190,8071,8070,1.7277905084076826,Clinton Street
191,15688,15689,0.48018492816551617,Rivington Street
192,20104,3978,1.013978376827785,Pike Street
193,17758,17759,0.7231854963839124,7th Avenue
194,153,154,0.49738682364331804,unknown
195,14501,14502,0.682374407278295,Madison Avenue
196,12165,12166,0.9051903240210049,West Street
197,10319,10118,8.042789155200209,10th Avenue
198,20038,20039,0.5807868409705191,Park Row
199,17356,17357,2.309926774674277,West 72nd Street
200,4408,4543,0.6840110055105002,Laguardia Place
201,1166,6158,1.7696744981111723,West Street
202,12843,12844,3.6057208248040236,Henry Hudson Parkway
203,5236,7410,0.9803696319597516,Willis Avenue Bridge
204,12268,12269,1.4713249938995558,East Drive
205,11402,5628,4.512206833106696,Dyckman Street
206,4694,4693,2.814797363817993,Fairview Avenue
207,18006,19398,4.392220905028412,1st Avenue
208,18468,18469,0.6908779997787828,FDR Drive
209,867,11843,1.2535519969964848,12th Avenue
210,1412,1413,6.183763412034631,Peck Slip
211,18169,18170,1.9526077716519943,West 72nd Street
212,6162,6161,1.7779284524319556,West Street
213,1032,4148,1.0293638752692034,Columbia Street
214,7465,7466,1.9489007232577653,Harlem River Drive
215,12565,19622,2.341997862533385,2nd Avenue
216,18450,18451,0.8966894924159096,FDR Drive
217,638,639,0.7288279069887568,unknown
218,14959,5543,8.55066440585682,Amsterdam Avenue
219,12287,12288,0.2436782316621738,Central Park 102 Center Drive
220,5853,1059,7.964898018513981,Queensboro Bridge Exit
221,13639,13640,2.371341118936528,FDR Drive
222,2993,2992,1.009308550828237,Overlook Terrace
223,5623,5624,15.439556669046311,East 116th Street
224,12530,12531,2.571041138836548,2nd Avenue
225,5382,1416,7.965098224374826,West End Avenue
226,6289,6290,0.5976305982206485,Canal Street
227,10120,10121,15.684346827648946,West 46th Street
228,15247,20927,13.790329265815613,East 26th Street
229,22265,22266,0.4679572081404014,York Avenue
230,8597,8598,0.23004336486242574,West Broadway
231,15370,15369,2.7928865061065156,West 168th Street
232,2797,2798,0.5726549320016827,Riverside Drive
233,9123,9124,9.498854967914239,Essex Street
234,10521,10520,1.2756185034838337,Riverside Drive
235,4438,4439,13.953941944196588,West 118th Street
236,18687,18688,17.932043616334965,Holland Tunnel
237,11085,11086,0.8122077352801763,West Drive
238,8164,1271,1.0085113962351469,Saint James Place
239,14784,3568,8.020473040218052,2nd Avenue
240,5716,5717,0.40263459000647983,Frederick Douglass Circle
241,13491,13526,1.1335744115390278,West 42nd Street
242,18123,18122,1.526631453335714,West 79th Street
243,2046,2047,0.2944000853026224,Avenue C Loop
244,13388,13389,7.982756160086659,Adam Clayton Powell Jr. Boulevard
245,15579,15580,5.924267499100399,2nd Avenue
246,3379,5153,12.263270502341948,Gansevoort Street
247,515,516,5.324197768698228,unknown
248,12155,35,8.70077183471804,Broadway
249,7082,7045,3.1315604653970874,FDR Drive
250,7030,7031,2.0644484059884114,FDR Drive
251,17551,17552,1.1193442600406889,Pearl Street
252,2565,2566,21.751396434791285,East 74th Street
253,16248,16247,0.40474059157648257,Grand Street
254,3898,18525,0.6334642080572925,Frankfort Street
255,12291,12290,0.6893119541638856,Central Park 102 Center Drive
256,3544,5135,8.669657375704942,Audubon Avenue
257,2440,2441,1.3519299765488852,East 20th Street
258,3068,5506,15.531017228246519,East 96th Street
259,10726,15282,8.513433339231279,Saint Nicholas Avenue
260,12788,12789,3.483834371048962,Henry Hudson Parkway
261,1108,17254,1.3297889053574496,East 102nd Street
262,4964,4120,2.6452097675742343,West 174th Street
263,19494,8859,8.338269549724039,West Street
264,1439,1440,1.5013296075577736,West 156th Street
265,2689,2690,14.272680255989535,Clinton Street
266,10390,10391,16.245793766898213,West 53rd Street
267,14658,14659,14.744938889766242,West 96th Street
268,20033,20034,0.7672519246830902,Battery Place
269,1188,1189,5.431321661244931,Commerce Street
270,1644,1645,3.4520209668979556,West 27th Drive
271,2975,2976,1.7564916649891102,Central Park 102 Center Drive
272,4430,12190,1.0576345218938508,Saint Nicholas Avenue
273,11607,11608,2.5252200283827144,East 102nd Street
274,3904,2674,10.758130129516758,Dutch Street
275,5081,5082,6.119463112540367,Avenue B
276,11485,11486,2.255211981613666,East 72nd Street
277,4493,4494,15.455511032278135,East 93rd Street
278,9548,9549,0.6924842702098639,unknown
279,15082,16834,0.6959628003978621,West 100th Street
280,6119,6120,2.0127920726395967,12th Avenue
281,4139,2544,7.971946401425566,Pleasant Avenue
282,897,898,4.724111929977921,West 225th Street
283,14847,4743,1.162962109465052,5th Avenue
284,17645,17646,0.7259223185031087,Margaret Corbin Drive
285,2021,2022,3.714084654972396,Gramercy Park East
286,15708,8650,1.8044037678106175,Allen Street
287,11465,11016,0.9388821018419705,East 110th Street
288,3567,3568,21.61980454179406,East 88th Street
289,20111,20112,0.5893778594039828,unknown
290,649,650,0.409852109166778,unknown
291,13079,13080,0.4096611912239833,unknown
292,22163,22164,0.3061489219122448,Columbus Circle
293,22157,22158,0.3942262936269652,Columbus Circle
294,3902,3903,1.0021034708183465,West 158th Street
295,7852,7851,1.1364724875420027,97th Street Transverse
296,18355,18356,0.8276063940290006,FDR Drive
297,1862,1863,6.051426408074913,Minetta Street
298,12470,12471,0.8316866566997461,Allen Street
299,18556,18557,0.7280171218164444,unknown
300,8289,8290,1.1953404874795681,Riverside Drive
301,6761,6762,0.9832782165055158,Margaret Corbin Drive
302,21961,9984,6.410639112866654,East 36th Street
303,20372,20373,2.4110840387415866,2nd Avenue
304,154,155,0.47553721707195556,unknown
305,2855,2817,1.6236642923617786,unknown
306,7189,7190,3.246233034339266,FDR Drive
307,6549,21096,1.285385886398348,3rd Avenue
308,13113,2552,7.625460533153788,Bleecker Street
309,183,184,0.5646036552040056,Holland Tunnel access
310,12661,12662,0.41458380801318306,unknown
311,15783,12343,5.174698840083261,West 181st Street
312,5528,5529,6.879621197812296,East 4th Street
313,4909,4910,0.3622389961833759,unknown
314,6543,14883,7.735203325236878,Avenue A
315,1306,5258,5.1224356865084095,Amsterdam Avenue
316,9074,9075,0.388834802277443,FDR Drive
317,15444,11600,8.600144872133349,3rd Avenue
318,4347,4348,1.2445116935517795,Fort George Avenue
319,10812,16806,1.7467082974752004,Washington Bridge
320,8986,4793,6.991015884447478,unknown
321,16776,16781,21.722214676272095,Henry Hudson Parkway
322,2452,1591,7.743564347274864,Broadway
323,18901,10006,8.437215230819648,3rd Avenue
324,5696,1781,7.934719732770823,Amsterdam Avenue
325,20667,20668,0.28313612438612284,Hudson Street / Beach Street (West)
326,13856,11855,2.139632550408458,12th Avenue
327,10310,22020,9.869821384760757,East 45th Street
328,7101,7102,3.7742168502408546,FDR Drive
329,11677,11678,15.295767164427735,Seaman Avenue
330,11063,11062,0.2933103650763331,Central Park West 100th Approach
331,4332,4331,1.6559947267934392,Fort George Avenue
332,11592,11593,9.374675843223883,East 99th Street
333,4316,4317,26.04333679128158,West 153rd Street
334,11329,1487,7.938633831049352,Amsterdam Avenue
335,9054,17674,2.44601893087858,FDR Drive
336,8046,8047,0.33168469793112165,West Drive
337,2262,22248,0.6345974299311894,York Avenue
338,12700,12701,2.5046990692963487,Harlem River Drive
339,13629,14649,5.806080257811319,West 72nd Street
340,21505,21506,0.4987057212118183,Riverside Drive
341,2175,2176,14.112326807478933,West 183rd Street
342,2960,2961,1.7143690294114597,Central Park Driveway
343,9528,9529,0.5026136291336285,unknown
344,6350,15717,1.1165955865309305,West Street
345,21730,21731,0.2623386946116659,East Broadway
346,15366,3814,7.704191713688043,Broadway
347,10324,10325,14.53963193252914,East 63rd Street
348,5687,5688,9.38950325449549,Pinehurst Avenue
349,11537,1163,1.6644958735418074,East 78th Street
350,1692,3849,8.33482805391516,Pleasant Avenue
