,node,Lat,Lon
0,0,40.7982075,-73.9604245
1,1,40.7983244,-73.960705
2,2,40.798485,-73.9610904
3,3,40.7855935,-73.9820114
4,4,40.7850311,-73.9806779
5,5,40.7845691,-73.9795827
6,6,40.7844943,-73.9794053
7,7,40.783828,-73.9778254
8,8,40.7826312,-73.9749879
9,9,40.7885135,-73.9810702
10,10,40.7875673,-73.9788289
11,11,40.7870877,-73.9776927
12,12,40.7870136,-73.9775173
13,13,40.7863627,-73.9759753
14,14,40.7851655,-73.9731396
15,15,40.7851382,-73.9730765
16,16,40.7839788,-73.9703286
17,17,40.7265446,-73.9753144
18,18,40.72592,-73.975785
19,19,40.725326,-73.976212
20,20,40.8126067,-73.9568144
21,21,40.8128407,-73.9573872
22,22,40.8137561,-73.9596275
23,23,40.813781,-73.9596845
24,24,40.8138385,-73.9598159
25,25,40.814192,-73.960687
26,26,40.732847,-73.995914
27,27,40.7341472,-73.9990144
28,28,40.7033242,-74.0077787
29,29,40.703813,-74.008325
30,30,40.7038846,-74.0084084
31,31,40.704211,-74.008789
32,32,40.770478,-73.9838503
33,33,40.7704486,-73.9837819
34,34,40.7697921,-73.9822548
35,35,40.7696743,-73.9819968
36,36,40.7692746,-73.9810292
37,37,40.7712531,-73.9859388
38,38,40.77137,-73.9860032
39,39,40.7715907,-73.9865199
40,40,40.7716655,-73.9866974
41,41,40.7872287,-73.9679448
42,42,40.7883898,-73.9706892
43,43,40.7884217,-73.9707647
44,44,40.7896131,-73.9736025
45,45,40.790184,-73.974956
46,46,40.7902195,-73.9750438
47,47,40.7902552,-73.9751319
48,48,40.7908141,-73.976449
49,49,40.7917606,-73.9786893
50,50,40.7115654,-74.0158085
51,51,40.7111771,-74.0147709
52,52,40.7111302,-74.0146457
53,53,40.8017934,-73.9336701
54,54,40.8018347,-73.9336915
55,55,40.8018638,-73.9337084
56,56,40.8018909,-73.9337391
57,57,40.8019286,-73.9337672
58,58,40.8019508,-73.93378
59,59,40.801977,-73.933789
60,60,40.802005,-73.9337928
61,61,40.8020418,-73.9337954
62,62,40.8020708,-73.9337928
63,63,40.8021018,-73.9337851
64,64,40.8021434,-73.9337698
65,65,40.7974178,-73.9291404
66,66,40.7977873,-73.9292078
67,67,40.798297,-73.9292593
68,68,40.799247,-73.9293597
69,69,40.7993103,-73.9293661
70,70,40.7993756,-73.9293764
71,71,40.7994312,-73.9293867
72,72,40.7994799,-73.9294009
73,73,40.7995354,-73.9294202
74,74,40.7995919,-73.9294421
75,75,40.7996562,-73.9294794
76,76,40.7997206,-73.929518
77,77,40.7997722,-73.9295579
78,78,40.7998287,-73.929603
79,79,40.7998852,-73.9296544
80,80,40.7999388,-73.9297111
81,81,40.7999914,-73.9297754
82,82,40.7372444,-73.9744666
83,83,40.7374587,-73.974153
84,84,40.7854081,-73.983689
85,85,40.7853144,-73.9835924
86,86,40.7852722,-73.9835481
87,87,40.7851974,-73.9835033
88,88,40.7851348,-73.983487
89,89,40.7850779,-73.9834802
90,90,40.7850354,-73.9834878
91,91,40.7849933,-73.983508
92,92,40.7849581,-73.9835373
93,93,40.7849162,-73.9835885
94,94,40.7850325,-73.9827898
95,95,40.7852198,-73.9829087
96,96,40.7853205,-73.9829475
97,97,40.7854069,-73.9829684
98,98,40.7854824,-73.9829805
99,99,40.7856081,-73.9830003
100,100,40.785771,-73.9830182
101,101,40.7862608,-73.9830254
102,102,40.7864428,-73.9830226
103,103,40.786773,-73.9829824
104,104,40.7871546,-73.9829165
105,105,40.7874858,-73.9828607
106,106,40.7877568,-73.9828491
107,107,40.8456737,-73.9314564
108,108,40.8455214,-73.9314147
109,109,40.8453916,-73.9314233
110,110,40.8452487,-73.931492
111,111,40.8451513,-73.931655
112,112,40.8450929,-73.931861
113,113,40.845028,-73.932067
114,114,40.8449306,-73.9322559
115,115,40.8447942,-73.9324103
116,116,40.8443332,-73.9327966
117,117,40.8441895,-73.9329506
118,118,40.8441051,-73.9331995
119,119,40.8441255,-73.9334146
120,120,40.8442431,-73.9337066
121,121,40.7997806,-73.9263764
122,122,40.8009746,-73.9292078
123,123,40.8021321,-73.931312
124,124,40.8026802,-73.9326138
125,125,40.71325,-73.977586
126,126,40.7130811,-73.9775786
127,127,40.7124485,-73.9777809
128,128,40.7088778,-73.9978289
129,129,40.708873,-73.9978485
130,130,40.7088361,-73.9979839
131,131,40.7087964,-73.9981207
132,132,40.7087547,-73.9982494
133,133,40.7085857,-73.998729
134,134,40.7085595,-73.9988023
135,135,40.7085369,-73.9988708
136,136,40.7085143,-73.9989505
137,137,40.7085001,-73.9990179
138,138,40.7084899,-73.9990906
139,139,40.7084858,-73.9991659
140,140,40.7084884,-73.9992351
141,141,40.708495,-73.9993088
142,142,40.785842,-73.9837108
143,143,40.7859437,-73.9835629
144,144,40.7859657,-73.983508
145,145,40.7859802,-73.9834632
146,146,40.7859875,-73.9834173
147,147,40.7859876,-73.9833733
148,148,40.7859835,-73.9833263
149,149,40.7859743,-73.9832794
150,150,40.785959,-73.9832348
151,151,40.7859377,-73.9831948
152,152,40.7859102,-73.9831594
153,153,40.785881,-73.9831355
154,154,40.7858403,-73.9831109
155,155,40.7857998,-73.9830926
156,156,40.7857612,-73.9830851
157,157,40.7857166,-73.9830811
158,158,40.785683,-73.9830816
159,159,40.7856344,-73.9830849
160,160,40.785591,-73.9830922
161,161,40.7855491,-73.9831067
162,162,40.7855025,-73.9831304
163,163,40.7854747,-73.9831531
164,164,40.7854427,-73.9831836
165,165,40.785421,-73.9832105
166,166,40.7854065,-73.9832471
167,167,40.7853911,-73.9832893
168,168,40.7853806,-73.9833448
169,169,40.7853803,-73.9834093
170,170,40.7854081,-73.983689
171,171,40.7237914,-74.006113
172,172,40.7238285,-74.006236
173,173,40.7238605,-74.0063345
174,174,40.7238895,-74.0064171
175,175,40.723915,-74.0064737
176,176,40.7239532,-74.0065517
177,177,40.7239903,-74.0066205
178,178,40.7240228,-74.0066726
179,179,40.7240553,-74.00672
180,180,40.7240993,-74.0067766
181,181,40.7241411,-74.0068225
182,182,40.7242106,-74.0068913
183,183,40.7242489,-74.0069219
184,184,40.7242941,-74.0069525
185,185,40.7243358,-74.0069755
186,186,40.7243799,-74.0069877
187,187,40.724504,-74.007029
188,188,40.711607,-74.0036669
189,189,40.711929,-74.0040278
190,190,40.7119698,-74.0040696
191,191,40.7120107,-74.0041075
192,192,40.712046,-74.0041358
193,193,40.7571333,-73.9970778
194,194,40.7571134,-73.9968704
195,195,40.7570959,-73.9967529
196,196,40.757071,-73.9966216
197,197,40.7570489,-73.9965335
198,198,40.7570255,-73.9964434
199,199,40.7569929,-73.9963454
200,200,40.7568953,-73.9960804
201,201,40.7568281,-73.9959146
202,202,40.7568078,-73.9958422
203,203,40.7567956,-73.9957644
204,204,40.7567956,-73.9956973
205,205,40.7567976,-73.9956169
206,206,40.756816,-73.9955391
207,207,40.7568415,-73.9954753
208,208,40.7568772,-73.9954221
209,209,40.7569148,-73.9953804
210,210,40.7569734,-73.9953351
211,211,40.7570939,-73.9952445
212,212,40.7403027,-73.9731069
213,213,40.7401526,-73.9731281
214,214,40.7398988,-73.9731619
215,215,40.7396268,-73.9732094
216,216,40.7394298,-73.973277
217,217,40.7392225,-73.97336
218,218,40.7390235,-73.9734645
219,219,40.738805,-73.9736
220,220,40.738669,-73.9736911
221,221,40.738358,-73.9737798
222,222,40.7590428,-73.9980915
223,223,40.7589751,-73.9980007
224,224,40.7589365,-73.9979664
225,225,40.7588735,-73.9979518
226,226,40.7588319,-73.9979586
227,227,40.7587932,-73.9979963
228,228,40.7587656,-73.9980498
229,229,40.7587567,-73.9981233
230,230,40.7587586,-73.9982006
231,231,40.7587624,-73.9982983
232,232,40.7587704,-73.9983824
233,233,40.758788,-73.998646
234,234,40.7593876,-73.9969538
235,235,40.7588387,-73.9975963
236,236,40.7823141,-73.944371
237,237,40.7825101,-73.9442636
238,238,40.7825829,-73.9442212
239,239,40.7826272,-73.9441854
240,240,40.7826667,-73.9441382
