,i,j,distance,street
0,13288,15939,10.342424494952327,10th Avenue
1,4260,19913,5.388481644811174,1st Avenue
2,1768,1767,26.025210021273526,West 134th Street
3,845,1443,8.002604870921633,Audubon Avenue
4,10877,10878,1.5091882476279603,West 126th Street
5,3425,4368,9.373036120354131,Thompson Street
6,15879,10670,18.313894106691652,West 141st Street
7,12049,9665,4.120376251648722,Hudson Street
8,1991,9177,7.87457428092371,York Avenue
9,2504,2505,15.115146134789853,Charlton Street
10,598,585,10.463955282205397,East 127th Street
11,15970,15974,7.5372782763563295,West 140th Street
12,3566,3567,15.450401224323333,East 88th Street
13,3710,1956,7.958004655386692,Amsterdam Avenue
14,9284,11871,21.78582178470222,East 126th Street
15,1503,1504,14.268612727053744,West 38th Street
16,13336,9770,17.663811010976968,Broadway
17,16543,14026,15.574088776643286,6th Avenue
18,5622,5620,16.84360620014289,East 116th Street
19,13744,11467,30.30113500781072,West 128th Street
20,11964,4,8.632843065150208,West End Ave.
21,16685,19800,5.72285970385735,Malcolm X Boulevard
22,1907,48,7.899998509102551,West End Ave.
23,864,2269,7.877934334892377,11th Avenue
24,3359,19081,3.824730639306547,Adam Clayton Powell Jr. Boulevard
25,5290,5292,11.100623535548081,Carmine Street
26,8074,8099,8.618702139005535,Clinton Street
27,6549,4150,8.741886826046184,3rd Avenue
28,5323,14536,13.316403017178862,West 108th Street
29,934,5605,7.921902817685416,East Houston Street
30,14277,10582,22.57602740515661,West 135th Street
31,8700,972,5.120696197699274,William Street
32,1443,1444,13.42150924124918,West 193rd Street
33,3371,787,7.76657713040311,9th Avenue
34,2347,10726,9.537464923732738,Saint Nicholas Avenue
35,16800,778,4.927577302059507,Grand Street
36,15144,15247,7.938413510682817,Park Avenue South
37,9670,8915,12.475825404414646,Leonard Street
38,1004,5204,7.970755398874439,5th Avenue
39,2153,8399,5.6050212108579816,12th Avenue
40,234,9932,1.4960391309717558,West 41st Street
41,8731,1619,5.221809309424777,William Street
42,14988,15301,4.232600767584839,West 106th Street
43,6209,2979,32.5402459736862,Washington Street
44,4039,4037,8.356916840255167,Jumel Terrace
45,11534,11535,15.466169564149029,East 73rd Street
46,2980,12342,7.547692699426422,West 184th Street
47,14066,10088,2.20246818900902,West 34th Street
48,8118,3521,14.003456590765326,Forsyth Street
49,14702,8859,2.76600171782138,Chambers Street
50,3443,3444,1.4606345885101024,West 121st Street
51,10365,12868,2.3275309982846046,8th Avenue
52,10488,6002,125.77605173649,Henry Hudson Parkway
53,5672,5673,26.07945348325072,West 135th Street
54,8850,1005,9.452143167425936,Murray Street
55,13007,4389,4.874928241640921,Greenwich Street
56,10168,12519,27.038264748096026,West 23rd Street
57,7553,2587,1.1363009945640448,Saint Nicholas Place
58,5203,18139,24.39817589645562,Riverside Drive
59,4870,3838,8.12625438521665,East End Avenue
60,107,10816,3.8268797327695383,unknown
61,9717,9718,1.9677647985109963,West 66th Street
62,11815,11818,14.783783175700144,12th Avenue
63,1409,1414,1.2513765915234607,Water Street
64,9131,9133,13.732196666476243,Norfolk Street
65,4308,13901,5.275107071716207,Grand Street
66,8525,7611,7.91379640741713,Park Avenue
67,1320,1325,14.182142599735634,Mott Street
68,4254,4256,16.87307582223845,East 106th Street
69,17568,13007,7.850534339362075,Albany Street
70,2762,6217,6.000030941837829,Greenwich Avenue
71,2373,2374,15.444160746964622,East 101st Street
72,2989,2980,13.335805455260502,Overlook Terrace
73,8657,5566,5.476354608697742,Allen Street
74,8174,13798,1.8285487829476057,West 77th Street
75,20402,20396,10.530710890676085,West 36th Street
76,10460,10433,6.951314557922737,unknown
77,3953,4176,4.554969398918365,West Road
78,11329,9706,22.37599932573454,West 81st Street
79,5,4828,8.617528592281955,Broadway
80,5876,17056,2.5057596223893204,West 95th Street
81,5988,5995,28.61197600959629,Henry Hudson Parkway
82,11964,918,8.704058846002527,West End Ave.
83,3811,14978,7.421606263022221,Amsterdam Avenue
