,node,Lat,Lon
0,0,40.7982075,-73.9604245
1,16385,40.7297049,-74.0092082
2,2,40.798485,-73.9610904
3,8195,40.8635192,-73.9318018
4,19053,40.730079,-73.992841
5,5,40.7845691,-73.9795827
6,6,40.7844943,-73.9794053
7,7,40.783828,-73.9778254
8,8,40.7826312,-73.9749879
9,9,40.7885135,-73.9810702
10,10,40.7875673,-73.9788289
11,16395,40.7995367,-73.9626573
12,8204,40.8632443,-73.9326239
13,13,40.7863627,-73.9759753
14,16398,40.8226821,-73.9494564
15,16399,40.8231195,-73.9504964
16,16,40.7839788,-73.9703286
17,17,40.7265446,-73.9753144
18,3,40.7855935,-73.9820114
19,20,40.8126067,-73.9568144
20,19118,40.8145169,-73.9406612
21,16406,40.8212618,-73.9460796
22,8215,40.750392,-73.9788111
23,24,40.8138385,-73.9598159
24,25,40.814192,-73.960687
25,26,40.732847,-73.995914
26,27,40.7341472,-73.9990144
27,28,40.7033242,-74.0077787
28,29,40.703813,-74.008325
29,8222,40.7508647,-73.9786508
30,4101,40.7616163,-73.9786703
31,8224,40.7506098,-73.9789023
32,8225,40.7513253,-73.9782153
33,34,40.7697921,-73.9822548
34,35,40.7696743,-73.9819968
35,36,40.7692746,-73.9810292
36,10929,40.730447,-74.004303
37,40,40.7716655,-73.9866974
38,41,40.7872287,-73.9679448
39,43,40.7884217,-73.9707647
40,44,40.7896131,-73.9736025
41,45,40.790184,-73.974956
42,11731,40.8343523,-73.9490935
43,47,40.7902552,-73.9751319
44,48,40.7908141,-73.976449
45,49,40.7917606,-73.9786893
46,50,40.7115654,-74.0158085
47,1911,40.7902424,-73.9731431
48,52,40.7111302,-74.0146457
49,53,40.8017934,-73.9336701
50,3275,40.7098057,-73.9919574
51,4105,40.815882,-73.960561
52,8249,40.7539606,-73.9758137
53,8250,40.7137089,-74.0136813
54,8251,40.7138012,-74.0139335
55,8253,40.7714935,-73.9774783
56,8254,40.8489682,-73.9370276
57,64,40.8021434,-73.9337698
58,8257,40.8501764,-73.9357231
59,8258,40.8493123,-73.9389502
60,11,40.7870877,-73.9776927
61,8260,40.8496627,-73.9406608
62,3306,40.7864873,-73.9721756
63,1377,40.859898,-73.919846
64,8264,40.8484382,-73.9376339
65,12,40.7870136,-73.9775173
66,1639,40.744533,-73.988869
67,1378,40.7987245,-73.9595473
68,10641,40.8341411,-73.9450015
69,81,40.7999914,-73.9297754
70,82,40.7372444,-73.9744666
71,83,40.7374587,-73.974153
72,84,40.7854081,-73.983689
73,14,40.7851655,-73.9731396
74,3549,40.8532,-73.934193
75,16475,40.8196905,-73.9404039
76,16476,40.8197535,-73.9405521
77,93,40.7849162,-73.9835885
78,94,40.7850325,-73.9827898
79,21861,40.7695256,-73.9483892
80,8288,40.813868,-73.962012
81,8289,40.8325919,-73.9496834
82,8290,40.832697,-73.949714
83,16483,40.8287277,-73.9422069
84,11733,40.8344441,-73.9476638
85,16491,40.8203116,-73.939948
86,16492,40.8203745,-73.9400971
87,19371,40.8011124,-73.9673288
88,8303,40.8377677,-73.947148
89,16496,40.8184876,-73.9375772
90,8211,40.7469622,-73.9814344
91,120,40.8442431,-73.9337066
92,8212,40.7503036,-73.9789935
93,122,40.8009746,-73.9292078
94,123,40.8021321,-73.931312
95,124,40.8026802,-73.9326138
96,125,40.71325,-73.977586
97,16510,40.7189681,-74.0116867
98,127,40.7124485,-73.9777809
99,128,40.7088778,-73.9978289
100,5187,40.7961147,-73.9614473
101,1387,40.8023277,-73.9681101
102,8214,40.7508337,-73.9785767
103,1388,40.802938,-73.96956
104,141,40.708495,-73.9993088
105,142,40.785842,-73.9837108
106,1389,40.8655306,-73.9272714
107,8336,40.7906174,-73.9798733
108,8337,40.7899385,-73.9803693
109,19139,40.8169809,-73.9388638
110,16536,40.828447,-73.94154
111,8346,40.786917,-73.981229
112,8351,40.786184,-73.981448
113,8355,40.7849758,-73.9826602
114,8356,40.7962434,-73.9746813
115,10950,40.732426,-74.006501
116,8358,40.7965204,-73.9740978
117,16553,40.7208183,-74.0075453
118,171,40.7237914,-74.006113
119,19144,40.8284464,-73.9423297
120,8370,40.7985787,-73.9731567
121,3450,40.7654239,-73.9524599
122,8375,40.800334,-73.97146
123,31,40.704211,-74.008789
124,16573,40.7145279,-74.0060126
125,192,40.712046,-74.0041358
126,193,40.7571333,-73.9970778
127,16578,40.7130715,-73.985056
128,8387,40.804723,-73.9680127
129,3007,40.7710327,-73.9871585
130,20514,40.7958825,-73.9385929
131,8399,40.817955,-73.9603735
132,211,40.7570939,-73.9952445
133,212,40.7403027,-73.9731069
134,8410,40.8340866,-73.9483688
135,10959,40.731836,-74.005107
136,221,40.738358,-73.9737798
137,222,40.7590428,-73.9980915
